metric,encoder_a,encoder_b,contrast,r_seed1,r_seed2,r_seed3,mean_r,sd_r,n_meaningful_seeds,claimed_robust,verdict_unstable
adj_per_noun,clip,dinov2,clip_vs_dinov2,0.1846325697298574,0.1162396809879737,0.1143081952199116,0.13839348197924756,0.04005586831320104,3,True,False
adj_per_noun,clip,siglip,clip_vs_siglip,0.1695395378664551,0.0957514594828756,0.1035337579156854,0.1229415850883387,0.04054217488687555,2,False,True
adj_per_noun,siglip,dinov2,siglip_vs_dinov2,0.0269374681405675,0.0264142939014631,0.0174090845482904,0.023586948863440333,0.005356578520232653,0,False,False
caption_length,clip,dinov2,clip_vs_dinov2,0.212905983231363,0.3751865224028861,0.1564656088217746,0.2481860381520079,0.11354832106130763,3,True,False
caption_length,clip,siglip,clip_vs_siglip,0.0686343561462328,0.2244436302813691,0.0703876097307795,0.12115519871946047,0.08945470108061535,1,False,True
caption_length,siglip,dinov2,siglip_vs_dinov2,0.1559296376508954,0.1720363437135167,0.0886020993739619,0.13885602691279134,0.04426002055868659,2,False,True
head_noun_min_depth,clip,dinov2,clip_vs_dinov2,0.1125495288509716,0.0359859019792558,0.0832413267429243,0.07725891919105056,0.038630805583437774,1,False,True
head_noun_min_depth,clip,siglip,clip_vs_siglip,0.046511279813187,0.0625697769417506,0.0801887910286918,0.0630899492612098,0.01684478034433995,0,False,False
head_noun_min_depth,siglip,dinov2,siglip_vs_dinov2,0.0667329650839955,0.0268723278043768,0.0107064867389108,0.03477059320909436,0.02883623616633384,0,False,False
projective_density,clip,dinov2,clip_vs_dinov2,0.3776849799949556,0.340600151982639,0.356722959568563,0.3583360305153858,0.01859496210228428,3,True,False
projective_density,clip,siglip,clip_vs_siglip,0.2783263684764145,0.2299227013587814,0.055010286951653,0.18775311892894964,0.11747860796171898,2,False,True
projective_density,siglip,dinov2,siglip_vs_dinov2,0.1317895155484837,0.1145605472478796,0.2835523214513838,0.17663412808258236,0.09299373307977327,3,True,False
scene_object_ratio,clip,dinov2,clip_vs_dinov2,0.063063537227796,0.0204303234306647,0.0547161660185608,0.046070008892340496,0.022593467074719722,0,False,False
scene_object_ratio,clip,siglip,clip_vs_siglip,0.0838619496318637,0.03015874156489,0.0251941097565513,0.046404933651101675,0.0325335661569,0,False,False
scene_object_ratio,siglip,dinov2,siglip_vs_dinov2,0.0232609331643226,0.015011250907402,0.0186071961519553,0.0189597934078933,0.004136128377324489,0,False,False
topological_density,clip,dinov2,clip_vs_dinov2,0.0963831787202407,0.0588555154173872,0.1002102054451525,0.08514963319426012,0.022851630262113603,1,False,True
topological_density,clip,siglip,clip_vs_siglip,0.0760636396458743,0.0064432455646664,0.0441277867490447,0.042211557319861794,0.034849731267609825,0,False,False
topological_density,siglip,dinov2,siglip_vs_dinov2,0.018935389100882,0.0483017083065223,0.0538519292808618,0.0403630088960887,0.018763219494051388,0,False,False
vg_attr_precision,clip,dinov2,clip_vs_dinov2,0.0964033924334514,0.0446869693752452,0.2208179080672732,0.1206360899586566,0.09053145648416795,0,False,False
vg_attr_precision,clip,siglip,clip_vs_siglip,0.265060877156017,0.3898280733562672,0.1911711017814685,0.2820200174312509,0.10040845292092637,1,False,True
vg_attr_precision,siglip,dinov2,siglip_vs_dinov2,0.3399934271785823,0.2956968995446642,0.2355867515568537,0.29042569276003344,0.052402554272859315,1,False,True
vg_attr_recall,clip,dinov2,clip_vs_dinov2,0.3307094043956176,0.1493162754500654,0.1399442437826302,0.20665664120943772,0.10753499330445261,3,True,False
vg_attr_recall,clip,siglip,clip_vs_siglip,0.3443179070723567,0.198746683861765,0.2250309258694316,0.2560318389345178,0.0775792350755584,3,True,False
vg_attr_recall,siglip,dinov2,siglip_vs_dinov2,0.0355718922874638,0.0506946603946615,0.0351822946510111,0.04048294911104547,0.008845746553261102,0,False,False
