metric,encoder_a,encoder_b,contrast,r_seed1,r_seed2,r_seed3,mean_r,sd_r,n_meaningful_seeds,claimed_robust,verdict_unstable
adj_per_noun,clip,dinov2,clip_vs_dinov2,0.1846325697298574,0.1162396809879737,0.1143081952199116,0.13839348197924756,0.04005586831320104,3,True,False
adj_per_noun,clip,mae,clip_vs_mae,0.0469249812180084,0.0085569680177718,0.0447462618402949,0.03340940369202503,0.021550391498505943,0,False,False
adj_per_noun,clip,siglip,clip_vs_siglip,0.1695395378664551,0.0957514594828756,0.1035337579156854,0.1229415850883387,0.04054217488687555,2,False,True
adj_per_noun,dinov2,mae,dinov2_vs_mae,0.1245304022426593,0.0930457381353689,0.1483708292145554,0.12198232319752787,0.0277504226246241,2,False,True
adj_per_noun,siglip,dinov2,siglip_vs_dinov2,0.0269374681405675,0.0264142939014631,0.0174090845482904,0.023586948863440333,0.005356578520232653,0,False,False
adj_per_noun,siglip,mae,siglip_vs_mae,0.1121815816138455,0.0767623281289426,0.129582392921573,0.1061754342214537,0.026917376656144812,2,False,True
caption_length,clip,dinov2,clip_vs_dinov2,0.212905983231363,0.3751865224028861,0.1564656088217746,0.2481860381520079,0.11354832106130763,3,True,False
caption_length,clip,mae,clip_vs_mae,0.279226204751841,0.3786668086310744,0.2998129388632662,0.31923531741539385,0.052488379822902345,3,True,False
caption_length,clip,siglip,clip_vs_siglip,0.0686343561462328,0.2244436302813691,0.0703876097307795,0.12115519871946047,0.08945470108061535,1,False,True
caption_length,dinov2,mae,dinov2_vs_mae,0.0952415720524647,0.0138212759167564,0.1719178613419234,0.09366023643704817,0.07906015461356448,1,False,True
caption_length,siglip,dinov2,siglip_vs_dinov2,0.1559296376508954,0.1720363437135167,0.0886020993739619,0.13885602691279134,0.04426002055868659,2,False,True
caption_length,siglip,mae,siglip_vs_mae,0.2265838980776281,0.177080507603808,0.2405916334716206,0.2147520130510189,0.033367812405242545,3,True,False
head_noun_min_depth,clip,dinov2,clip_vs_dinov2,0.1125495288509716,0.0359859019792558,0.0832413267429243,0.07725891919105056,0.038630805583437774,1,False,True
head_noun_min_depth,clip,mae,clip_vs_mae,0.0454610142572521,0.0776235838805697,0.0119335182407089,0.04500603879284357,0.03284739613648569,0,False,False
head_noun_min_depth,clip,siglip,clip_vs_siglip,0.046511279813187,0.0625697769417506,0.0801887910286918,0.0630899492612098,0.01684478034433995,0,False,False
head_noun_min_depth,dinov2,mae,dinov2_vs_mae,0.0519291598167891,0.0556294002366532,0.0641314835154278,0.0572300145229567,0.006256648502331666,0,False,False
head_noun_min_depth,siglip,dinov2,siglip_vs_dinov2,0.0667329650839955,0.0268723278043768,0.0107064867389108,0.03477059320909436,0.02883623616633384,0,False,False
head_noun_min_depth,siglip,mae,siglip_vs_mae,0.0044497005426257,0.0291107426019174,0.0559322892107971,0.029830910785113397,0.025748848821900726,0,False,False
projective_density,clip,dinov2,clip_vs_dinov2,0.3776849799949556,0.340600151982639,0.356722959568563,0.3583360305153858,0.01859496210228428,3,True,False
projective_density,clip,mae,clip_vs_mae,0.4782247135833117,0.293006876024368,0.2816819188055932,0.3509711694710909,0.11035017911558845,3,True,False
projective_density,clip,siglip,clip_vs_siglip,0.2783263684764145,0.2299227013587814,0.055010286951653,0.18775311892894964,0.11747860796171898,2,False,True
projective_density,dinov2,mae,dinov2_vs_mae,0.1363610399353833,0.0021386237577173,0.0840181226859968,0.07417259545969913,0.06765068407573918,1,False,True
projective_density,siglip,dinov2,siglip_vs_dinov2,0.1317895155484837,0.1145605472478796,0.2835523214513838,0.17663412808258236,0.09299373307977327,3,True,False
projective_density,siglip,mae,siglip_vs_mae,0.2601899509494198,0.0865695693197846,0.2056199943802656,0.18412650488315666,0.08878337004967086,2,False,True
scene_object_ratio,clip,dinov2,clip_vs_dinov2,0.063063537227796,0.0204303234306647,0.0547161660185608,0.046070008892340496,0.022593467074719722,0,False,False
scene_object_ratio,clip,mae,clip_vs_mae,0.0419725910350696,0.0195229508150408,0.0277788565554454,0.029758132801851935,0.01135494330002909,0,False,False
scene_object_ratio,clip,siglip,clip_vs_siglip,0.0838619496318637,0.03015874156489,0.0251941097565513,0.046404933651101675,0.0325335661569,0,False,False
scene_object_ratio,dinov2,mae,dinov2_vs_mae,0.0057081138770761,0.0344987406805868,0.0416456144529289,0.027284156336863933,0.019024028420641447,0,False,False
scene_object_ratio,siglip,dinov2,siglip_vs_dinov2,0.0232609331643226,0.015011250907402,0.0186071961519553,0.0189597934078933,0.004136128377324489,0,False,False
scene_object_ratio,siglip,mae,siglip_vs_mae,0.0362189308439222,0.0568766240092024,0.0222169670586154,0.03843750730391333,0.017436012047332198,0,False,False
topological_density,clip,dinov2,clip_vs_dinov2,0.0963831787202407,0.0588555154173872,0.1002102054451525,0.08514963319426012,0.022851630262113603,1,False,True
topological_density,clip,mae,clip_vs_mae,0.044170582262671,0.0264204449399768,0.0059344962206809,0.025508507807776234,0.01913434845905217,0,False,False
topological_density,clip,siglip,clip_vs_siglip,0.0760636396458743,0.0064432455646664,0.0441277867490447,0.042211557319861794,0.034849731267609825,0,False,False
topological_density,dinov2,mae,dinov2_vs_mae,0.0434568180946272,0.0838681040674917,0.1028884383223647,0.0767377868281612,0.030350625012899233,1,False,True
topological_density,siglip,dinov2,siglip_vs_dinov2,0.018935389100882,0.0483017083065223,0.0538519292808618,0.0403630088960887,0.018763219494051388,0,False,False
topological_density,siglip,mae,siglip_vs_mae,0.0252905861738708,0.0312106923101498,0.0484782491898373,0.03499317589128597,0.012047709971885888,0,False,False
vg_attr_precision,clip,dinov2,clip_vs_dinov2,0.0964033924334514,0.0446869693752452,0.2208179080672732,0.1206360899586566,0.09053145648416795,0,False,False
vg_attr_precision,clip,mae,clip_vs_mae,0.1498679894355458,0.0675654529510452,0.0095854174859414,0.07567295329084414,0.07049183406266901,0,False,False
vg_attr_precision,clip,siglip,clip_vs_siglip,0.265060877156017,0.3898280733562672,0.1911711017814685,0.2820200174312509,0.10040845292092637,1,False,True
vg_attr_precision,dinov2,mae,dinov2_vs_mae,0.2326471679314695,0.0873023544938587,0.0694415384873906,0.1297970203042396,0.0895174108054487,0,False,False
vg_attr_precision,siglip,dinov2,siglip_vs_dinov2,0.3399934271785823,0.2956968995446642,0.2355867515568537,0.29042569276003344,0.052402554272859315,1,False,True
vg_attr_precision,siglip,mae,siglip_vs_mae,0.2532435560553953,0.3922369730679488,0.3040337957502226,0.31650477495785556,0.07033090703953924,1,False,True
vg_attr_recall,clip,dinov2,clip_vs_dinov2,0.3307094043956176,0.1493162754500654,0.1399442437826302,0.20665664120943772,0.10753499330445261,1,False,True
vg_attr_recall,clip,mae,clip_vs_mae,0.2229440393811243,0.0524524666953354,0.075183919273745,0.11686014178340158,0.09257172749400443,1,False,True
vg_attr_recall,clip,siglip,clip_vs_siglip,0.3443179070723567,0.198746683861765,0.2250309258694316,0.2560318389345178,0.0775792350755584,3,True,False
vg_attr_recall,dinov2,mae,dinov2_vs_mae,0.0875868831226391,0.0766403606081538,0.0600377502703857,0.07475499800039287,0.013870999399820987,0,False,False
vg_attr_recall,siglip,dinov2,siglip_vs_dinov2,0.0355718922874638,0.0506946603946615,0.0351822946510111,0.04048294911104547,0.008845746553261102,0,False,False
vg_attr_recall,siglip,mae,siglip_vs_mae,0.1339406573161408,0.1246945189040428,0.111042503604569,0.12322589327491755,0.011519505491929111,0,False,False
