metric,encoder_a,encoder_b,contrast,r_seed1,r_seed2,r_seed3,mean_r,sd_r,n_meaningful_seeds,claimed_robust,verdict_unstable
adj_per_noun,clip,dinov2,clip_vs_dinov2,0.033813711994874,0.02032846601616,0.0315047397888791,0.028548972599971034,0.00721216919746581,0,False,False
adj_per_noun,clip,siglip,clip_vs_siglip,0.0100597747370627,9.05027028339044e-05,0.01707453931333,0.009074938917742201,0.008534740833202284,0,False,False
adj_per_noun,siglip,dinov2,siglip_vs_dinov2,0.0215032169798822,0.0179979366486871,0.0535471067912394,0.031016086806602897,0.01959099011564073,0,False,False
caption_length,clip,dinov2,clip_vs_dinov2,0.0193997716105728,0.0506092832838583,0.023819323702392,0.03127612619894103,0.016888200979549035,0,False,False
caption_length,clip,siglip,clip_vs_siglip,0.0064605099837468,0.043167476276556,0.0145376865923483,0.021388557617550364,0.019288627969825188,0,False,False
caption_length,siglip,dinov2,siglip_vs_dinov2,0.0210211876185496,0.0048448499837378,0.0143812142476764,0.013415750616654601,0.008131270800802082,0,False,False
head_noun_min_depth,clip,dinov2,clip_vs_dinov2,0.0576138576669897,0.0018977366144408,0.020091004435369,0.026534199572266503,0.028411399278540916,0,False,False
head_noun_min_depth,clip,siglip,clip_vs_siglip,0.0081213779233523,0.0319786710855179,0.0366415546222377,0.02558053454370263,0.015298765739094616,0,False,False
head_noun_min_depth,siglip,dinov2,siglip_vs_dinov2,0.052812818035612,0.028832525830187,0.0083905418720935,0.030011961912630832,0.02223461168969235,0,False,False
projective_density,clip,dinov2,clip_vs_dinov2,0.1567209166050475,0.1748873505616561,0.1504201861637488,0.1606761511101508,0.012704071922471373,3,True,False
projective_density,clip,siglip,clip_vs_siglip,0.0896498073569591,0.0899701711466133,0.0206384313171512,0.06675280327357454,0.03993653883276507,0,False,False
projective_density,siglip,dinov2,siglip_vs_dinov2,0.0661611482763916,0.0930892659124775,0.1381567301844447,0.0991357147911046,0.036376649262970656,1,False,True
scene_object_ratio,clip,dinov2,clip_vs_dinov2,0.0589647075919412,0.026665796567366,0.0054947762138893,0.030375093457732167,0.02692726411945809,0,False,False
scene_object_ratio,clip,siglip,clip_vs_siglip,0.0852944236544218,0.0203922859227655,0.0289521428898723,0.04487961748901986,0.03526095866343667,0,False,False
scene_object_ratio,siglip,dinov2,siglip_vs_dinov2,0.0056071801278512,0.0174014718637664,0.0014742972197413,0.008160983070452967,0.008264995773595418,0,False,False
topological_density,clip,dinov2,clip_vs_dinov2,0.036384718039705,0.0038445668525532,0.0298906985906747,0.0233733278276443,0.01722127901950888,0,False,False
topological_density,clip,siglip,clip_vs_siglip,0.0446412181901609,0.0045013668651472,0.0189460440024452,0.022696209685917762,0.020331003986244073,0,False,False
topological_density,siglip,dinov2,siglip_vs_dinov2,0.0081042532639276,0.000651313085083,0.0487573617467472,0.019170976031919265,0.02589212706745604,0,False,False
vg_attr_precision,clip,dinov2,clip_vs_dinov2,0.0588137670785994,0.0282280403089802,0.0118150156798687,0.0329522743558161,0.023852870870335195,0,False,False
vg_attr_precision,clip,siglip,clip_vs_siglip,0.0047080187801074,0.0135243973026134,0.0126496656042539,0.010294027228991566,0.004857355935000305,0,False,False
vg_attr_precision,siglip,dinov2,siglip_vs_dinov2,0.0669383168299644,0.071165736615199,0.0040712862937936,0.047391779912985675,0.03757614462751592,0,False,False
vg_attr_recall,clip,dinov2,clip_vs_dinov2,0.0067850715592125,0.0106700742006423,0.0069318686388259,0.008129004799560233,0.0022018543597346384,0,False,False
vg_attr_recall,clip,siglip,clip_vs_siglip,0.0024572530865728,0.0231072982681901,0.0077535921763581,0.011106047843707001,0.010725451540698126,0,False,False
vg_attr_recall,siglip,dinov2,siglip_vs_dinov2,0.0026781146995354,0.0286026730086778,0.0178829520810121,0.0163879132630751,0.013026781516605893,0,False,False
