statistic,p_value,n,r,metric,encoder_a,encoder_b,contrast,p_adj,rejected_at_alpha,claimed_meaningful,within_category
249381.0,0.0018425740000952624,1058,0.09575145948287563,adj_per_noun,clip,siglip,clip_vs_siglip,0.004913530666920699,True,False,True
2314511.0,1.561860991404604e-40,3527,0.22444363028136918,caption_length,clip,siglip,clip_vs_siglip,1.874233189685525e-39,True,True,True
534821.0,0.014776391900507169,1518,0.06256977694175067,head_noun_min_depth,clip,siglip,clip_vs_siglip,0.02727949273939785,True,False,True
103532.0,3.0406361345985443e-10,750,0.22992270135878146,projective_density,clip,siglip,clip_vs_siglip,1.4595053446073013e-09,True,True,True
345068.5,0.2971564500102316,1195,0.03015874156489008,scene_object_ratio,clip,siglip,clip_vs_siglip,0.39620860001364216,False,False,True
3283247.0,0.6975895847117886,3637,0.006443245564666483,topological_density,clip,siglip,clip_vs_siglip,0.7279195666557793,False,False,True
303.5,0.008194654408554642,46,0.38982807335626724,vg_attr_precision,clip,siglip,clip_vs_siglip,0.016389308817109285,True,True,True
9973.5,0.0027496650098694417,227,0.19874668386176506,vg_attr_recall,clip,siglip,clip_vs_siglip,0.00659919602368666,True,True,True
266774.5,0.0001084016396271837,1109,0.11623968098797377,adj_per_noun,clip,dinov2,clip_vs_dinov2,0.0004336065585087348,True,True,False
1845466.0,6.083521673762888e-112,3591,0.3751865224028861,caption_length,clip,dinov2,clip_vs_dinov2,1.4600452017030932e-110,True,True,False
579020.5,0.1560176245797082,1554,0.03598590197925587,head_noun_min_depth,clip,dinov2,clip_vs_dinov2,0.2340264368695623,False,False,False
107330.5,5.531422868605155e-23,840,0.340600151982639,projective_density,clip,dinov2,clip_vs_dinov2,3.318853721163093e-22,True,True,False
363166.5,0.4756551882179654,1219,0.020430323430664765,scene_object_ratio,clip,dinov2,clip_vs_dinov2,0.5436059293919604,False,False,False
3134168.5,0.00036518966495739956,3667,0.0588555154173872,topological_density,clip,dinov2,clip_vs_dinov2,0.0012520788512825126,True,False,False
409.0,0.7747737937198399,41,0.04468696937524526,vg_attr_precision,clip,dinov2,clip_vs_dinov2,0.7747737937198399,False,False,False
10430.5,0.02543301854136174,224,0.14931627545006543,vg_attr_recall,clip,dinov2,clip_vs_dinov2,0.04359946035662012,True,True,False
342445.0,0.36259504625173566,1188,0.026414293901463114,adj_per_noun,siglip,dinov2,siglip_vs_dinov2,0.4580147952653503,False,False,False
2500484.0,1.6893466792349035e-24,3526,0.17203634371351673,caption_length,siglip,dinov2,siglip_vs_dinov2,1.3514773433879228e-23,True,True,False
667930.5,0.2735771544027572,1660,0.026872327804376813,head_noun_min_depth,siglip,dinov2,siglip_vs_dinov2,0.38622657092153956,False,False,False
184274.5,0.0005076606726906585,921,0.11456054724787965,projective_density,siglip,dinov2,siglip_vs_dinov2,0.0015229820180719758,True,True,False
355343.0,0.6027582313250341,1202,0.015011250907402003,scene_object_ratio,siglip,dinov2,siglip_vs_dinov2,0.6575544341727646,False,False,False
3144046.0,0.0035255668122202086,3649,0.04830170830652234,topological_density,siglip,dinov2,siglip_vs_dinov2,0.007692145772116819,True,False,False
375.0,0.042642391531599405,47,0.29569689954466427,vg_attr_precision,siglip,dinov2,siglip_vs_dinov2,0.06822782645055905,False,False,False
14888.5,0.4218854598739954,251,0.050694660394661514,vg_attr_recall,siglip,dinov2,siglip_vs_dinov2,0.5062625518487944,False,False,False
