statistic,p_value,n,r,metric,encoder_a,encoder_b,contrast,p_adj,rejected_at_alpha,claimed_meaningful,within_category
249381.0,0.0018425740000952624,1058,0.09575145948287563,adj_per_noun,clip,siglip,clip_vs_siglip,0.00589623680030484,True,False,True
2314511.0,1.561860991404604e-40,3527,0.22444363028136918,caption_length,clip,siglip,clip_vs_siglip,2.4989775862473663e-39,True,True,True
534821.0,0.014776391900507169,1518,0.06256977694175067,head_noun_min_depth,clip,siglip,clip_vs_siglip,0.031739057231978285,True,False,True
103532.0,3.0406361345985443e-10,750,0.22992270135878146,projective_density,clip,siglip,clip_vs_siglip,1.8243816807591267e-09,True,True,True
345068.5,0.2971564500102316,1195,0.03015874156489008,scene_object_ratio,clip,siglip,clip_vs_siglip,0.40752884572831766,False,False,True
3283247.0,0.6975895847117886,3637,0.006443245564666483,topological_density,clip,siglip,clip_vs_siglip,0.7440955570259078,False,False,True
303.5,0.008194654408554642,46,0.38982807335626724,vg_attr_precision,clip,siglip,clip_vs_siglip,0.019507351677852874,True,True,True
9973.5,0.0027496650098694417,227,0.19874668386176506,vg_attr_recall,clip,siglip,clip_vs_siglip,0.008248995029608326,True,True,True
266774.5,0.0001084016396271837,1109,0.11623968098797377,adj_per_noun,clip,dinov2,clip_vs_dinov2,0.0005203278702104818,True,True,False
1845466.0,6.083521673762888e-112,3591,0.3751865224028861,caption_length,clip,dinov2,clip_vs_dinov2,1.4600452017030932e-110,True,True,False
579020.5,0.1560176245797082,1554,0.03598590197925587,head_noun_min_depth,clip,dinov2,clip_vs_dinov2,0.2496281993275331,False,False,False
107330.5,5.531422868605155e-23,840,0.340600151982639,projective_density,clip,dinov2,clip_vs_dinov2,4.425138294884124e-22,True,True,False
363166.5,0.4756551882179654,1219,0.020430323430664765,scene_object_ratio,clip,dinov2,clip_vs_dinov2,0.5568646105966424,False,False,False
3134168.5,0.00036518966495739956,3667,0.0588555154173872,topological_density,clip,dinov2,clip_vs_dinov2,0.001593554901632289,True,False,False
409.0,0.7747737937198399,41,0.04468696937524526,vg_attr_precision,clip,dinov2,clip_vs_dinov2,0.7912583425223897,False,False,False
10430.5,0.02543301854136174,224,0.14931627545006543,vg_attr_recall,clip,dinov2,clip_vs_dinov2,0.05086603708272348,False,False,False
325969.0,0.77196759549316,1147,0.008556968017771848,adj_per_noun,clip,mae,clip_vs_mae,0.7912583425223897,False,False,False
1853861.5,1.0394468592184648e-114,3614,0.3786668086310744,caption_length,clip,mae,clip_vs_mae,4.9893449242486313e-113,True,True,False
787819.5,0.0008147694135436183,1860,0.07762358388056977,head_noun_min_depth,clip,mae,clip_vs_mae,0.0030083793730841294,True,False,False
124113.0,6.8377563647137956e-18,865,0.293006876024368,projective_density,clip,mae,clip_vs_mae,4.688747221518031e-17,True,True,False
463873.5,0.4687854040629402,1377,0.019522950815040813,scene_object_ratio,clip,mae,clip_vs_mae,0.5568646105966424,False,False,False
3449421.5,0.10466335438094994,3772,0.026420444939976865,topological_density,clip,mae,clip_vs_mae,0.1732358969063999,False,False,False
398.5,0.6652835989293531,41,0.06756545295104521,vg_attr_precision,clip,mae,clip_vs_mae,0.7257639261047488,False,False,False
13248.5,0.41938108865776125,237,0.0524524666953354,vg_attr_recall,clip,mae,clip_vs_mae,0.5192436429218404,False,False,False
342445.0,0.36259504625173566,1188,0.026414293901463114,adj_per_noun,siglip,dinov2,siglip_vs_dinov2,0.48346006166898087,False,False,False
2500484.0,1.6893466792349035e-24,3526,0.17203634371351673,caption_length,siglip,dinov2,siglip_vs_dinov2,1.6217728120655072e-23,True,True,False
667930.5,0.2735771544027572,1660,0.026872327804376813,head_noun_min_depth,siglip,dinov2,siglip_vs_dinov2,0.38622657092153956,False,False,False
184274.5,0.0005076606726906585,921,0.11456054724787965,projective_density,siglip,dinov2,siglip_vs_dinov2,0.002030642690762634,True,True,False
355343.0,0.6027582313250341,1202,0.015011250907402003,scene_object_ratio,siglip,dinov2,siglip_vs_dinov2,0.6728463977581777,False,False,False
3144046.0,0.0035255668122202086,3649,0.04830170830652234,topological_density,siglip,dinov2,siglip_vs_dinov2,0.009954541587445295,True,False,False
375.0,0.042642391531599405,47,0.29569689954466427,vg_attr_precision,siglip,dinov2,siglip_vs_dinov2,0.07872441513526045,False,False,False
14888.5,0.4218854598739954,251,0.050694660394661514,vg_attr_recall,siglip,dinov2,siglip_vs_dinov2,0.5192436429218404,False,False,False
314565.0,0.008534466359060633,1174,0.07676232812894263,adj_per_noun,siglip,mae,siglip_vs_mae,0.019507351677852874,True,False,False
2705627.0,6.345294912452009e-27,3681,0.17708050760380808,caption_length,siglip,mae,siglip_vs_mae,7.614353894942411e-26,True,True,False
880913.5,0.20340523723814097,1909,0.02911074260191747,head_noun_min_depth,siglip,mae,siglip_vs_mae,0.30510785585721145,False,False,False
216385.5,0.00672718115172406,980,0.08656956931978468,projective_density,siglip,mae,siglip_vs_mae,0.017939149737930826,True,False,False
444392.5,0.03474299657098553,1378,0.05687662400920243,scene_object_ratio,siglip,mae,siglip_vs_mae,0.06670655341629221,False,False,False
3606526.0,0.05224683998364469,3868,0.031210692310149852,topological_density,siglip,mae,siglip_vs_mae,0.08956601140053375,False,False,False
315.5,0.007165757262172842,47,0.39223697306794886,vg_attr_precision,siglip,mae,siglip_vs_mae,0.01810296571496297,True,True,False
13647.0,0.04776377534163604,252,0.12469451890404284,vg_attr_recall,siglip,mae,siglip_vs_mae,0.08491337838513074,False,False,False
329485.5,0.0011871635228848626,1214,0.0930457381353689,adj_per_noun,dinov2,mae,dinov2_vs_mae,0.004070274935605243,True,False,True
3135315.0,0.4089752347617759,3569,0.013821275916756495,caption_length,dinov2,mae,dinov2_vs_mae,0.5192436429218404,False,False,True
848545.5,0.015208298256989597,1904,0.05562940023665324,head_noun_min_depth,dinov2,mae,dinov2_vs_mae,0.031739057231978285,True,False,True
264315.0,0.9453057607737331,1029,0.0021386237577173946,projective_density,dinov2,mae,dinov2_vs_mae,0.9453057607737331,False,False,True
473145.5,0.19628548017653047,1403,0.03449874068058683,scene_object_ratio,dinov2,mae,dinov2_vs_mae,0.3039259047894665,False,False,True
3189670.5,2.7280500962803916e-07,3758,0.08386810406749179,topological_density,dinov2,mae,dinov2_vs_mae,1.4549600513495422e-06,True,False,True
552.5,0.541122469415257,49,0.08730235449385877,vg_attr_precision,dinov2,mae,dinov2_vs_mae,0.6184256793317223,False,False,True
14187.0,0.22652284411537849,249,0.0766403606081538,vg_attr_recall,dinov2,mae,dinov2_vs_mae,0.32948777325873235,False,False,True
