statistic,p_value,n,r,metric,encoder_a,encoder_b,contrast,p_adj,rejected_at_alpha,claimed_meaningful,within_category
2033521.5,0.3595012130024742,2880,0.017074539313330098,adj_per_noun,clip,siglip,clip_vs_siglip,0.6162877937185272,False,False,True
4945756.0,0.33025968451982546,4485,0.01453768659234832,caption_length,clip,siglip,clip_vs_siglip,0.6162877937185272,False,False,True
1998999.5,0.04890003256650121,2889,0.03664155462223772,head_noun_min_depth,clip,siglip,clip_vs_siglip,0.19560013026600484,False,False,True
311350.5,0.48801867586366177,1129,0.02063843131715124,projective_density,clip,siglip,clip_vs_siglip,0.7808298813818588,False,False,True
634824.5,0.24389706412263912,1620,0.02895214288987232,scene_object_ratio,clip,siglip,clip_vs_siglip,0.5853529538943338,False,False,True
5177656.0,0.19874934477534967,4601,0.018946044002445223,topological_density,clip,siglip,clip_vs_siglip,0.5299982527342658,False,False,True
11764.0,0.8518409111675734,218,0.012649665604253981,vg_attr_precision,clip,siglip,clip_vs_siglip,0.9460252355369887,False,False,True
70783.5,0.857801533967238,534,0.007753592176358147,vg_attr_recall,clip,siglip,clip_vs_siglip,0.9460252355369887,False,False,True
2134513.5,0.08567457558756814,2976,0.03150473978887917,adj_per_noun,clip,dinov2,clip_vs_dinov2,0.2937414020145193,False,False,False
4837674.5,0.1116700355258676,4460,0.023819323702392002,caption_length,clip,dinov2,clip_vs_dinov2,0.33501010657760283,False,False,False
2097156.0,0.27680904761836267,2930,0.02009100443536902,head_noun_min_depth,clip,dinov2,clip_vs_dinov2,0.6039470129855186,False,False,False
309824.0,1.4206543111788798e-07,1224,0.1504201861637488,projective_density,clip,dinov2,clip_vs_dinov2,3.4095703468293115e-06,True,True,False
625304.5,0.8267845409471043,1586,0.0054947762138893,scene_object_ratio,clip,dinov2,clip_vs_dinov2,0.9460252355369887,False,False,False
4982739.0,0.04393752834627616,4543,0.02989069859067475,topological_density,clip,dinov2,clip_vs_dinov2,0.19560013026600484,False,False,False
14987.0,0.852984891093456,246,0.011815015679868708,vg_attr_precision,clip,dinov2,clip_vs_dinov2,0.9460252355369887,False,False,False
84148.0,0.8671897992422396,582,0.0069318686388259955,vg_attr_recall,clip,dinov2,clip_vs_dinov2,0.9460252355369887,False,False,False
2044952.0,0.0036219498573212953,2952,0.05354710679123948,adj_per_noun,siglip,dinov2,siglip_vs_dinov2,0.021731699143927773,True,False,False
4924668.0,0.3360306836279605,4475,0.014381214247676454,caption_length,siglip,dinov2,siglip_vs_dinov2,0.6162877937185272,False,False,False
2039987.0,0.6530700665399521,2870,0.008390541872093595,head_noun_min_depth,siglip,dinov2,siglip_vs_dinov2,0.9408455752767091,False,False,False
321329.0,1.1908895580478001e-06,1236,0.13815673018444477,projective_density,siglip,dinov2,siglip_vs_dinov2,1.4290674696573601e-05,True,True,False
694802.5,0.9519867865918273,1668,0.0014742972197413697,scene_object_ratio,siglip,dinov2,siglip_vs_dinov2,0.9519867865918273,False,False,False
4874606.5,0.00101240593432286,4545,0.04875736174674722,topological_density,siglip,dinov2,siglip_vs_dinov2,0.00809924747458288,True,False,False
14274.0,0.9498138376863923,239,0.004071286293793602,vg_attr_precision,siglip,dinov2,siglip_vs_dinov2,0.9519867865918273,False,False,False
82791.0,0.666432282487669,581,0.01788295208101219,vg_attr_recall,siglip,dinov2,siglip_vs_dinov2,0.9408455752767091,False,False,False
